Ticker,Nama,Sektor,Industri,Harga (Rp),PBV,PER TTM,PER Annualised,DER,Net Debt (Rp),Posisi Kas,Growth YTD YoY (%),Growth Annual YoY (%),ROA (%),ROE (%),Market Cap (Rp),Lolos Screener,Waktu Evaluasi
WIIM,Wismilak Inti Makmur Tbk.,Consumer Defensive,Tobacco,1485.0,1.35,5.39,4.48,0.08,-21769666560.0,Net Cash (Bebas Utang),106.6,105.5,14.26,27.22,3099052212224.0,True,2026-09-22 15:19:40
DMAS,Puradelta Lestari Tbk.,Real Estate,Real Estate - Development,184.0,1.27,5.69,6.32,0.01,-2083975504512.0,Net Cash (Bebas Utang),382.2,382.2,11.77,23.54,8868452106240.0,True,2026-09-22 15:19:31
